i,8_bit_combination,first_half_4bits,second_half_4bits,first_half_index,second_half_index,approx_value,Org_Index
31,00011111,0001,1111,1,15,1.8227805048890994e-304,0
30,00011110,0001,1110,1,14,1.1945774316841202e-299,0
29,00011101,0001,1101,1,13,7.82878265628505e-295,0
28,00011100,0001,1100,1,12,5.1306710016229703e-290,0
27,00011011,0001,1011,1,11,3.36243654762363e-285,0
26,00011010,0001,1010,1,10,2.203606415850622e-280,0
25,00011001,0001,1001,1,9,1.4441555006918637e-275,0
24,00011000,0001,1000,1,8,9.464417489334198e-271,0
23,00010111,0001,0111,1,7,6.20260064581006e-266,0
22,00010110,0001,0110,1,6,4.064936359238081e-261,0
21,00010101,0001,0101,1,5,2.6639966923902686e-256,0
20,00010100,0001,0100,1,4,1.7458768723248864e-251,0
19,00010011,0001,0011,1,3,1.1441778670468376e-246,0
18,00010010,0001,0010,1,2,7.498484069478155e-242,0
17,00010001,0001,0001,1,1,4.914206519773204e-237,0
16,00010000,0001,0000,1,0,3.220574384798567e-232,0
15,00001111,0000,1111,0,15,2.1106356288215886e-227,1
14,00001110,0000,1110,0,14,1.3832261657045163e-222,1
13,00001101,0000,1101,0,13,9.065110999561118e-218,1
12,00001100,0000,1100,0,12,5.940911144672375e-213,1
11,00001011,0000,1011,0,11,3.8934355277724873e-208,1
10,00001010,0000,1010,0,10,2.5516019074809773e-203,1
9,00001001,0000,1001,0,9,1.6722178260867333e-198,1
8,00001000,0000,1000,0,8,1.0959046745042015e-193,1
7,00000111,0000,0111,0,7,7.182120874830735e-189,1
6,00000110,0000,0110,0,6,4.706874736529071e-184,1
5,00000101,0000,0101,0,5,3.084697427331692e-179,1
4,00000100,0000,0100,0,4,2.0215873059760975e-174,1
3,00000011,0000,0011,0,3,1.3248674568444952e-169,1
2,00000010,0000,0010,0,2,8.682651365176084e-165,1
1,00000001,0000,0001,0,1,5.6902623986817984e-160,1
0,00000000,0000,0000,0,0,3.7291703656001034e-155,1
63,00111111,0011,1111,3,15,9.546676135936265e-153,2
62,00111110,0011,1110,3,14,2.443949090799684e-150,2
61,00111101,0011,1101,3,13,6.256509672447191e-148,2
60,00111100,0011,1100,3,12,1.6016664761464807e-145,2
59,00111011,0011,1011,3,11,4.100266178934991e-143,2
58,00111010,0011,1010,3,10,1.0496681418073576e-140,2
57,00111001,0011,1001,3,9,2.6871504430268355e-138,2
56,00111000,0011,1000,3,8,6.879105134148699e-136,2
55,00110111,0011,0111,3,7,1.761050914342067e-133,2
54,00110110,0011,0110,3,6,4.5082903407156913e-131,2
53,00110101,0011,0101,3,5,1.154122327223217e-128,2
52,00110100,0011,0100,3,4,2.9545531576914354e-126,2
51,00110011,0011,0011,3,3,7.563656083690075e-124,2
50,00110010,0011,0010,3,2,1.9362959574246591e-121,2
49,00110001,0011,0001,3,1,4.9569176510071274e-119,2
48,00110000,0011,0000,3,0,1.2689709186578246e-116,2
47,00101111,0010,1111,2,15,3.248565551764031e-114,3
46,00101110,0010,1110,2,14,8.31632781251592e-112,3
45,00101101,0010,1101,2,13,2.1289799200040754e-109,3
44,00101100,0010,1100,2,12,5.450188595210433e-107,3
43,00101011,0010,1011,2,11,1.3952482803738708e-104,3
42,00101010,0010,1010,2,10,3.5718355977571093e-102,3
41,00101001,0010,1001,2,9,9.1438991302582e-100,3
40,00101000,0010,1000,2,8,2.3408381773460992e-97,3
39,00100111,0010,0111,2,7,5.992545734006014e-95,3
38,00100110,0010,0110,2,6,1.5340917079055395e-92,3
37,00100101,0010,0101,2,5,3.9272747722381812e-90,3
36,00100100,0010,0100,2,4,1.0053823416929744e-87,3
35,00100011,0010,0011,2,3,2.5737787947340145e-85,3
34,00100010,0010,0010,2,2,6.588873714519077e-83,3
33,00100001,0010,0001,2,1,1.6867516709168837e-80,3
32,00100000,0010,0000,2,0,4.3180842775472223e-78,3
95,01011111,0101,1111,5,15,6.908934844075556e-77,4
94,01011110,0101,1110,5,14,1.105429575052089e-75,4
93,01011101,0101,1101,5,13,1.7686873200833423e-74,4
92,01011100,0101,1100,5,12,2.8298997121333476e-73,4
91,01011011,0101,1011,5,11,4.527839539413356e-72,4
90,01011010,0101,1010,5,10,7.24454326306137e-71,4
89,01011001,0101,1001,5,9,1.1591269220898192e-69,4
88,01011000,0101,1000,5,8,1.8546030753437107e-68,4
87,01010111,0101,0111,5,7,2.967364920549937e-67,4
86,01010110,0101,0110,5,6,4.7477838728798994e-66,4
85,01010101,0101,0101,5,5,7.596454196607839e-65,4
84,01010100,0101,0100,5,4,1.2154326714572542e-63,4
83,01010011,0101,0011,5,3,1.9446922743316068e-62,4
82,01010010,0101,0010,5,2,3.111507638930571e-61,4
81,01010001,0101,0001,5,1,4.9784122222889134e-60,4
80,01010000,0101,0000,5,0,7.965459555662261e-59,4
79,01001111,0100,1111,4,15,1.2744735289059618e-57,5
78,01001110,0100,1110,4,14,2.039157646249539e-56,5
77,01001101,0100,1101,4,13,3.2626522339992623e-55,5
76,01001100,0100,1100,4,12,5.22024357439882e-54,5
75,01001011,0100,1011,4,11,8.352389719038111e-53,5
74,01001010,0100,1010,4,10,1.3363823550460978e-51,5
73,01001001,0100,1001,4,9,2.1382117680737565e-50,5
72,01001000,0100,1000,4,8,3.4211388289180104e-49,5
71,01000111,0100,0111,4,7,5.473822126268817e-48,5
70,01000110,0100,0110,4,6,8.758115402030107e-47,5
69,01000101,0100,0101,4,5,1.401298464324817e-45,5
68,01000100,0100,0100,4,4,2.2420775429197073e-44,5
67,01000011,0100,0011,4,3,3.587324068671532e-43,5
66,01000010,0100,0010,4,2,5.739718509874451e-42,5
65,01000001,0100,0001,4,1,9.183549615799121e-41,5
64,01000000,0100,0000,4,0,1.4693679385278594e-39,5
127,01111111,0111,1111,7,15,5.877471754111438e-39,6
126,01111110,0111,1110,7,14,2.350988701644575e-38,6
125,01111101,0111,1101,7,13,9.4039548065783e-38,6
124,01111100,0111,1100,7,12,3.76158192263132e-37,6
123,01111011,0111,1011,7,11,1.504632769052528e-36,6
122,01111010,0111,1010,7,10,6.018531076210112e-36,6
121,01111001,0111,1001,7,9,2.407412430484045e-35,6
