i,8_bit_combination,first_half_4bits,second_half_4bits,first_half_index,second_half_index,approx_value,Org_Index
224,11100000,1110,0000,14,0,16.0,0
225,11100001,1110,0001,14,1,18.0,0
226,11100010,1110,0010,14,2,20.0,0
227,11100011,1110,0011,14,3,22.0,0
228,11100100,1110,0100,14,4,24.0,0
229,11100101,1110,0101,14,5,26.0,0
230,11100110,1110,0110,14,6,28.0,0
231,11100111,1110,0111,14,7,30.0,0
232,11101000,1110,1000,14,8,32.0,0
233,11101001,1110,1001,14,9,36.0,0
234,11101010,1110,1010,14,10,40.0,0
235,11101011,1110,1011,14,11,44.0,0
236,11101100,1110,1100,14,12,48.0,0
237,11101101,1110,1101,14,13,52.0,0
238,11101110,1110,1110,14,14,56.0,0
239,11101111,1110,1111,14,15,60.0,0
240,11110000,1111,0000,15,0,64.0,1
241,11110001,1111,0001,15,1,72.0,1
242,11110010,1111,0010,15,2,80.0,1
243,11110011,1111,0011,15,3,88.0,1
244,11110100,1111,0100,15,4,96.0,1
245,11110101,1111,0101,15,5,104.0,1
246,11110110,1111,0110,15,6,112.0,1
247,11110111,1111,0111,15,7,120.0,1
248,11111000,1111,1000,15,8,128.0,1
249,11111001,1111,1001,15,9,144.0,1
250,11111010,1111,1010,15,10,160.0,1
251,11111011,1111,1011,15,11,176.0,1
252,11111100,1111,1100,15,12,192.0,1
253,11111101,1111,1101,15,13,208.0,1
254,11111110,1111,1110,15,14,224.0,1
255,11111111,1111,1111,15,15,240.0,1
192,11000000,1100,0000,12,0,256.0,2
193,11000001,1100,0001,12,1,320.0,2
194,11000010,1100,0010,12,2,384.0,2
195,11000011,1100,0011,12,3,448.0,2
196,11000100,1100,0100,12,4,512.0,2
197,11000101,1100,0101,12,5,640.0,2
198,11000110,1100,0110,12,6,768.0,2
199,11000111,1100,0111,12,7,896.0,2
200,11001000,1100,1000,12,8,1024.0,2
201,11001001,1100,1001,12,9,1280.0,2
202,11001010,1100,1010,12,10,1536.0,2
203,11001011,1100,1011,12,11,1792.0,2
204,11001100,1100,1100,12,12,2048.0,2
205,11001101,1100,1101,12,13,2560.0,2
206,11001110,1100,1110,12,14,3072.0,2
207,11001111,1100,1111,12,15,3584.0,2
208,11010000,1101,0000,13,0,4096.0,3
209,11010001,1101,0001,13,1,5120.0,3
210,11010010,1101,0010,13,2,6144.0,3
211,11010011,1101,0011,13,3,7168.0,3
212,11010100,1101,0100,13,4,8192.0,3
213,11010101,1101,0101,13,5,10240.0,3
